TRADE_DATE,ASSET_TYPE,CLOSE_PRICE
2021-10-16,BTC,60884
2021-10-17,BTC,61540
2021-10-18,BTC,62046.5
2021-10-19,BTC,64290.75
2021-10-20,BTC,66012.5
2021-10-21,BTC,62227
2021-10-22,BTC,60694.75
2021-10-23,BTC,61323
2021-10-24,BTC,60864
2021-10-25,BTC,63071
2021-10-26,BTC,60305.25
2021-10-27,BTC,58471
2021-10-28,BTC,60588
2021-10-29,BTC,62253
2021-10-30,BTC,61868.75
2021-10-31,BTC,61346.25
2021-11-01,BTC,60977.25
2021-11-02,BTC,63227.75
2021-11-03,BTC,62953.75
2021-11-04,BTC,61472
2021-11-05,BTC,61019.25
2021-11-06,BTC,61503
2021-11-07,BTC,63293.5
2021-11-08,BTC,67554.5
2021-11-09,BTC,66938.25
2021-11-10,BTC,64951.25
2021-11-11,BTC,64851
2021-11-12,BTC,64140.75
2021-11-13,BTC,64441.25
2021-11-14,BTC,65508.25
2021-11-15,BTC,63622
2021-11-16,BTC,60157.5
2021-11-17,BTC,60368
2021-11-18,BTC,56936.75
2021-11-19,BTC,58129.75
2021-11-20,BTC,59749.75
2021-11-21,BTC,58702.25
2021-11-22,BTC,56293.75
2021-11-23,BTC,57592
2021-11-24,BTC,57191.25
2021-11-25,BTC,58953.5
2021-11-26,BTC,53672
2021-11-27,BTC,54798.25
2021-11-28,BTC,57304
2021-11-29,BTC,57830.5
2021-11-30,BTC,56978.25
2021-12-01,BTC,57249.5
2021-12-02,BTC,56527.25
2021-12-03,BTC,53674.25
2021-12-04,BTC,49259.5
2021-12-05,BTC,49437
2021-12-06,BTC,50570.5
2021-12-07,BTC,50624.5
2021-12-08,BTC,50514.5
2021-12-09,BTC,47589
2021-12-10,BTC,47335.25
2021-12-11,BTC,49380.25
2021-12-12,BTC,50110
2021-12-13,BTC,46719.25
2021-12-14,BTC,48399
2021-12-15,BTC,48886.5
2021-12-16,BTC,47639
2021-12-17,BTC,46186.5
2021-12-18,BTC,46870
2021-12-19,BTC,46696
2021-12-20,BTC,46907.75
2021-12-21,BTC,48923
2021-12-22,BTC,48626
2021-12-23,BTC,50823.75
2021-12-24,BTC,50821
2021-12-25,BTC,50448
2021-12-26,BTC,50796.25
2021-12-27,BTC,50686.5
2021-12-28,BTC,47560
2021-12-29,BTC,46475.75
2021-12-30,BTC,47147
2021-12-31,BTC,46223
2022-01-01,BTC,47745.75
2022-01-02,BTC,47325.75
2022-01-03,BTC,46447.75
2022-01-04,BTC,45851.5
2022-01-05,BTC,43432.25
2022-01-06,BTC,43113.25
2022-01-07,BTC,41540.75
2022-01-08,BTC,41693
2022-01-09,BTC,41864.25
2022-01-10,BTC,41832.5
2022-01-11,BTC,42744.5
2022-01-12,BTC,43932.75
2022-01-13,BTC,42556.25
2022-01-14,BTC,43102.5
2022-01-15,BTC,43112
2022-01-16,BTC,43095.75
2022-01-17,BTC,42245.75
2022-01-18,BTC,42381.75
2022-01-19,BTC,41673.25
2022-01-20,BTC,40713.25
2022-01-21,BTC,36469.25
2022-01-22,BTC,35081.5
2022-01-23,BTC,36289.25
2022-01-24,BTC,36704
2022-01-25,BTC,36955
2022-01-26,BTC,36820
2022-01-27,BTC,37172.75
2022-01-28,BTC,37736.25
2022-01-29,BTC,38172
2022-01-30,BTC,37942.75
2022-01-31,BTC,38505.25
2022-02-01,BTC,38726.75
2022-02-02,BTC,36908
2022-02-03,BTC,37295
2022-02-04,BTC,41592.75
2022-02-05,BTC,41409.5
2022-02-06,BTC,42412.75
2022-02-07,BTC,43871.75
2022-02-08,BTC,44075.25
2022-02-09,BTC,44428.25
2022-02-10,BTC,43523
2022-02-11,BTC,42391.25
2022-02-12,BTC,42232.75
2022-02-13,BTC,42061.5
2022-02-14,BTC,42568.75
2022-02-15,BTC,44575.25
2022-02-16,BTC,43888.75
2022-02-17,BTC,40562.25
2022-02-18,BTC,40020.5
2022-02-19,BTC,40119.5
2022-02-20,BTC,38401.75
2022-02-21,BTC,37037.25
2022-02-22,BTC,38263.75
2022-02-23,BTC,37251
2022-02-24,BTC,38346.75
2022-02-25,BTC,39234.75
2022-02-26,BTC,39123.75
2022-02-27,BTC,37713.5
2022-02-28,BTC,43194.25
2022-03-01,BTC,44442.5
2022-03-02,BTC,43930
2022-03-03,BTC,42469.75
2022-03-04,BTC,39161.75
2022-03-05,BTC,39413
2022-03-06,BTC,38420.75
2022-03-07,BTC,38019.75
2022-03-08,BTC,38758.75
2022-03-09,BTC,41954.75
2022-03-10,BTC,39438.75
2022-03-11,BTC,38744.5
2022-03-12,BTC,38819.25
2022-03-13,BTC,37796.25
2022-03-14,BTC,39681.5
2022-03-15,BTC,39316.75
2022-03-16,BTC,41126.5
2022-03-17,BTC,40935.5
2022-03-18,BTC,41795
2022-03-19,BTC,42240.75
2022-03-20,BTC,41285.75
2022-03-21,BTC,41040
2022-03-22,BTC,42372
2022-03-23,BTC,42906.5
2022-03-24,BTC,44014
2022-03-25,BTC,44337.25
2022-03-26,BTC,44550.75
2022-03-27,BTC,46856
2022-03-28,BTC,47107.5
2022-03-29,BTC,47461.75
2022-03-30,BTC,47047.25
2022-03-31,BTC,45533.25
2022-04-01,BTC,46294.25
2022-04-02,BTC,45824.75
2022-04-03,BTC,46427.75
2022-04-04,BTC,46620
2022-04-05,BTC,45497
2022-04-06,BTC,43177.25
2022-04-07,BTC,43466.75
2022-04-08,BTC,42293.5
2022-04-09,BTC,42793
2022-04-10,BTC,42147
2022-04-11,BTC,39526.5
2022-04-12,BTC,40101.5
2022-04-13,BTC,41160.5
2022-04-14,BTC,39930.5
2022-04-15,BTC,40577
2022-04-16,BTC,40395.75
2022-04-17,BTC,39699
2022-04-18,BTC,40807.25
2022-04-19,BTC,41510
2022-04-20,BTC,41377.25
2022-04-21,BTC,40487.5
2022-04-22,BTC,39729
2022-04-23,BTC,39437.5
2022-04-24,BTC,39469.25
2022-04-25,BTC,40444
2022-04-26,BTC,38129.5
2022-04-27,BTC,39251.25
2022-04-28,BTC,39756.5
2022-04-29,BTC,38595.75
2022-04-30,BTC,37661.25
2022-05-01,BTC,38477.25
2022-05-02,BTC,38516.75
2022-05-03,BTC,37727.25
2022-05-04,BTC,39627.75
2022-05-05,BTC,36558.75
2022-05-06,BTC,36023.5
2022-05-07,BTC,35460.75
2022-05-08,BTC,34045.5
2022-05-09,BTC,30072.5
2022-05-10,BTC,30992
2022-05-11,BTC,28986
2022-05-12,BTC,28933.75
2022-05-13,BTC,29240.5
2022-05-14,BTC,30043.75
2022-05-15,BTC,31293.75
2022-05-16,BTC,29839.25
2022-05-17,BTC,30415.75
2022-05-18,BTC,28676.75
2022-05-19,BTC,30291.75
2022-05-20,BTC,29168
2022-05-21,BTC,29419
2022-05-22,BTC,30267.25
2022-05-23,BTC,29073.5
2022-05-24,BTC,29634
2022-05-25,BTC,29520.75
2022-05-26,BTC,29204
